scan_time,kickoff,home,away,book,team,odds
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Neds,melbourne-storm,3.75
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Neds,sydney-roosters,1.28
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Ladbrokes,melbourne-storm,3.75
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Ladbrokes,sydney-roosters,1.28
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,PointsBet (AU),melbourne-storm,3.65
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,PointsBet (AU),sydney-roosters,1.28
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,PlayUp,melbourne-storm,3.65
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,PlayUp,sydney-roosters,1.28
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Betr,melbourne-storm,3.5
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Betr,sydney-roosters,1.3
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,TABtouch,melbourne-storm,3.85
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,TABtouch,sydney-roosters,1.26
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Unibet,melbourne-storm,3.8
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Unibet,sydney-roosters,1.26
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Bet Right,melbourne-storm,3.7
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Bet Right,sydney-roosters,1.28
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Betfair,melbourne-storm,2.74
2026-07-15 09:51,2026-07-17,sydney-roosters,melbourne-storm,Betfair,sydney-roosters,1.29
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,SportsBet,canberra-raiders,1.82
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,SportsBet,south-sydney-rabbitohs,2.02
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Betr,canberra-raiders,1.8
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Betr,south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,TAB,canberra-raiders,1.85
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,TAB,south-sydney-rabbitohs,1.95
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Neds,canberra-raiders,1.82
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Neds,south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Ladbrokes,canberra-raiders,1.82
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Ladbrokes,south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,PointsBet (AU),canberra-raiders,1.8
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,PointsBet (AU),south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,PlayUp,canberra-raiders,1.85
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,PlayUp,south-sydney-rabbitohs,1.95
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,TABtouch,canberra-raiders,1.82
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,TABtouch,south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Unibet,canberra-raiders,1.81
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Unibet,south-sydney-rabbitohs,1.98
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Bet Right,canberra-raiders,1.8
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Bet Right,south-sydney-rabbitohs,2.0
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Betfair,canberra-raiders,1.85
2026-07-15 09:51,2026-07-18,canberra-raiders,south-sydney-rabbitohs,Betfair,south-sydney-rabbitohs,1.01
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,SportsBet,warriors,1.18
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,SportsBet,st-george-illawarra-dragons,4.9
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Betr,warriors,1.17
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Betr,st-george-illawarra-dragons,5.15
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,TAB,warriors,1.18
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,TAB,st-george-illawarra-dragons,4.8
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Ladbrokes,warriors,1.16
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Ladbrokes,st-george-illawarra-dragons,5.2
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Neds,warriors,1.16
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Neds,st-george-illawarra-dragons,5.2
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,PointsBet (AU),warriors,1.16
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,PointsBet (AU),st-george-illawarra-dragons,5.0
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,PlayUp,warriors,1.18
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,PlayUp,st-george-illawarra-dragons,4.85
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,TABtouch,warriors,1.2
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,TABtouch,st-george-illawarra-dragons,4.6
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Unibet,warriors,1.2
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Unibet,st-george-illawarra-dragons,4.5
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Bet Right,warriors,1.18
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Bet Right,st-george-illawarra-dragons,4.9
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Betfair,warriors,1.21
2026-07-15 09:51,2026-07-18,warriors,st-george-illawarra-dragons,Betfair,st-george-illawarra-dragons,1.01
2026-07-15 09:51,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,SportsBet,canterbury-bankstown-bulldogs,1.5
2026-07-15 09:51,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,SportsBet,wests-tigers,2.6
2026-07-15 09:51,2026-07-18,canterbury-bankstown-bulldogs,wests-tigers,Betr,canterbury-bankstown-bulldogs,1.5
