placed,date,home,away,side,prob,odds,book,ev,stake,result,profit
2026-07-15 18:02,2026-07-17,cronulla-sutherland-sharks,newcastle-knights,cronulla-sutherland-sharks,0.682,1.61,Betfair,0.098,4.0,win,2.44
2026-07-15 18:02,2026-07-17,sydney-roosters,melbourne-storm,melbourne-storm,0.2864,3.85,TABtouch,0.1027,1.0,loss,-1.0
2026-07-15 18:02,2026-07-19,gold-coast-titans,manly-warringah-sea-eagles,manly-warringah-sea-eagles,0.6891,1.6,TAB,0.1026,4.0,loss,-4.0
2026-07-21 17:12,2026-07-23,parramatta-eels,penrith-panthers,parramatta-eels,0.2039,5.5,PointsBet (AU),0.1213,1.0,loss,-1.0
2026-07-21 17:12,2026-07-25,canberra-raiders,wests-tigers,wests-tigers,0.2501,4.8,Betfair,0.2003,1.0,loss,-1.0
2026-07-21 17:12,2026-07-25,north-queensland-cowboys,brisbane-broncos,north-queensland-cowboys,0.4864,2.3,Betr,0.1187,2.0,win,2.6
2026-07-21 17:12,2026-07-26,st-george-illawarra-dragons,gold-coast-titans,st-george-illawarra-dragons,0.5774,1.93,Betfair,0.1144,3.0,loss,-3.0
